id,university,subject,close,first_result,interview,finale_rusult
168,연세대학교(활동우수자),실내건축학과(자연),9/11~9/13,11월 17일,12월 02일,12월 15일
169,연세대학교(활동우수자),아동가족학과(인문),9/11~9/13,11월 17일,12월 02일,12월 15일
170,연세대학교(활동우수자),생활디자인학과(인문),9/11~9/13,11월 17일,12월 02일,12월 15일
171,연세대학교(활동우수자),생활디자인학과(자연),9/11~9/13,11월 17일,12월 02일,12월 15일
172,연세대학교(활동우수자),교육학부,9/11~9/13,11월 17일,12월 02일,12월 15일
173,연세대학교(활동우수자),간호학과(인문),9/11~9/13,11월 17일,12월 02일,12월 15일
174,연세대학교(활동우수자),간호학과(자연),9/11~9/13,11월 17일,12월 02일,12월 15일
175,연세대학교(활동우수자),의예과,9/11~9/13,11월 17일,12월 02일,12월 15일
176,연세대학교(활동우수자),치의예과,9/11~9/13,11월 17일,12월 02일,12월 15일
177,한양대학교,-모든학과-,-,-,-,12월 13일
178,경희대학교(네오르네상스),국어국문학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
179,경희대학교(네오르네상스),사학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
180,경희대학교(네오르네상스),철학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
181,경희대학교(네오르네상스),영어영문학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
182,경희대학교(네오르네상스),응용영어통번역학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
183,경희대학교(네오르네상스),프랑스어학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
184,경희대학교(네오르네상스),스페인어학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
185,경희대학교(네오르네상스),러시아어학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
186,경희대학교(네오르네상스),중국어학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
187,경희대학교(네오르네상스),일본어학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
188,경희대학교(네오르네상스),한국어학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
189,경희대학교(네오르네상스),글로벌커뮤니케이션학부,9/11~9/15,11월 22일,12/2~12/3,12월 15일
190,경희대학교(네오르네상스),자율전공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
191,경희대학교(네오르네상스),정치외교학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
192,경희대학교(네오르네상스),행정학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
193,경희대학교(네오르네상스),사회학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
194,경희대학교(네오르네상스),경제학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
195,경희대학교(네오르네상스),무역학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
196,경희대학교(네오르네상스),언론정보학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
197,경희대학교(네오르네상스),국제통상금융투자학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
198,경희대학교(네오르네상스),국제학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
199,경희대학교(네오르네상스),경영학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
200,경희대학교(네오르네상스),회계세무학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
201,경희대학교(네오르네상스),Hospitality경영학부,9/11~9/15,11월 22일,12/2~12/3,12월 15일
202,경희대학교(네오르네상스),관광학부,9/11~9/15,11월 22일,12/2~12/3,12월 15일
203,경희대학교(네오르네상스),문화관광산업학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
204,경희대학교(네오르네상스),조리산업학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
205,경희대학교(네오르네상스),아동가족학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
206,경희대학교(네오르네상스),주거환경학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
207,경희대학교(네오르네상스),의상학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
208,경희대학교(네오르네상스),식품영양학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
209,경희대학교(네오르네상스),수학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
210,경희대학교(네오르네상스),물리학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
211,경희대학교(네오르네상스),화학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
212,경희대학교(네오르네상스),생물학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
213,경희대학교(네오르네상스),지리학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
214,경희대학교(네오르네상스),정보디스플레이학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
215,경희대학교(네오르네상스),기계공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
216,경희대학교(네오르네상스),산업경영공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
217,경희대학교(네오르네상스),원자력공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
218,경희대학교(네오르네상스),화학공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
219,경희대학교(네오르네상스),정보전자신소재공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
220,경희대학교(네오르네상스),사회기반시스템공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
221,경희대학교(네오르네상스),건축공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
222,경희대학교(네오르네상스),환경학및환경공학과,9/11~9/15,11월 22일,12/2~12/3,12월 15일
